# OGLE ID        MOA ID	  RA (J2000)	  Dec(J2000)	 Tmax[HJD]    Tmax[UTC]   Talert[HJD]     Talert[UTC]  DeltaT[d]    tE[d]    Umin    Amax   Ibase[mag]   I0[mag]   
None  MOA-2007-BLG-0083  18:18:37.888  -21:20:38.93  2454196.556226  None  None  None  None  24.132973  5.000000  1.0028  9.803  9.8
None  MOA-2007-BLG-0085  18:07:42.088  -31:39:14.25  2454198.405895  None  None  None  None  2.454615  2.474437  1.0318  11.034  11.0
None  MOA-2007-BLG-0087  18:18:10.978  -22:00:08.89  2454196.253273  None  None  None  None  27.064325  0.074470  13.4561  23.1023  20.28
None  MOA-2007-BLG-0092  18:09:53.737  -25:07:03.64  2454173.586384  None  None  None  None  12.948125  5.000000  1.0028  11.103  11.1
None  MOA-2007-BLG-0094  18:09:01.871  -29:23:43.08  2454296.172311  None  None  None  None  5.442517  1.748409  1.0888  18.9923  18.90
None  MOA-2007-BLG-0096  18:01:58.202  -27:07:51.32  2454200.509529  None  None  None  None  3.953501  0.159800  6.3176  23.7814  21.78
None  MOA-2007-BLG-0097  18:06:30.714  -28:11:59.96  2454200.239806  None  None  None  None  8.712745  0.101656  9.8752  25.0164  22.53
None  MOA-2007-BLG-0099  18:04:17.004  -27:36:35.60  2454176.518228  None  None  None  None  252.590712  0.005392  185.462  30.7706  25.10
None  MOA-2007-BLG-0102  18:16:54.141  -22:04:54.43  2454212.238731  None  None  None  None  15.971991  0.452686  2.3753  19.4893  18.55
None  MOA-2007-BLG-0108  18:05:02.562  -30:53:03.37  2454225.761199  None  None  None  None  72.650315  0.239722  4.2609  22.4637  20.89
None  MOA-2007-BLG-0109  18:12:44.105  -29:49:12.53  2454209.434149  None  None  None  None  2.544197  2.654959  1.0254  11.1272  11.1
None  MOA-2007-BLG-0110  17:59:51.355  -29:32:18.81  2454183.871997  None  None  None  None  74.076328  0.017318  57.7499  25.8839  21.48
None  MOA-2007-BLG-0111  17:57:39.226  -28:55:22.31  2454203.201148  None  None  None  None  2.440784  2.134468  1.0501  10.653  10.6
None  MOA-2007-BLG-0112  18:12:18.261  -27:09:18.20  2454210.895973  None  None  None  None  13.287999  0.506190  2.1605  21.0764  20.24
None  MOA-2007-BLG-0113  17:50:05.988  -34:27:58.38  2454206.084494  None  None  None  None  1.807680  0.023765  42.0876  15.8604  11.8
None  MOA-2007-BLG-0114  17:58:51.028  -30:20:13.15  2454201.141486  None  None  None  None  0.954737  4.413158  1.0044  10.1047  10.10
None  MOA-2007-BLG-0118  17:51:12.516  -28:31:31.51  2454219.642844  None  None  None  None  87.685694  0.079233  12.6507  23.4653  20.71
None  MOA-2007-BLG-0120  18:00:39.720  -31:29:46.89  2454205.384576  None  None  None  None  26.203674  0.355427  2.9451  21.8227  20.65
None  MOA-2007-BLG-0122  17:57:11.214  -32:36:40.05  2454212.229533  None  None  None  None  7.328607  0.426841  2.4999  20.7648  19.77
None  MOA-2007-BLG-0123  17:56:31.527  -29:02:36.21  2454211.190804  None  None  None  None  5.506320  0.061665  16.2398  25.1364  22.11
None  MOA-2007-BLG-0124  17:54:42.271  -28:36:25.77  2454215.648604  None  None  None  None  8.277962  0.079376  12.628  21.9533  19.20
None  MOA-2007-BLG-0125  17:57:11.122  -32:36:40.33  2454212.227288  None  None  None  None  8.225591  0.403318  2.6282  21.5591  20.51
None  MOA-2007-BLG-0126  17:56:19.949  -29:12:37.05  2454211.001854  None  None  None  None  26.551247  0.002513  397.9317  33.4295  26.93
None  MOA-2007-BLG-0127  17:53:37.909  -30:25:04.44  2454210.298354  None  None  None  None  89.012886  0.015218  65.7174  25.4442  20.90
None  MOA-2007-BLG-0128  18:09:01.943  -29:23:43.37  2454289.861713  None  None  None  None  7.325099  2.346567  1.0375  19.42  19.38
None  MOA-2007-BLG-0130  17:55:48.705  -30:56:38.12  2454226.123045  None  None  None  None  120.902056  0.006186  161.6577  29.3915  23.87
None  MOA-2007-BLG-0131  18:09:01.943  -29:23:43.37  2454289.862221  None  None  None  None  7.326572  2.345790  1.0375  19.43  19.39
None  MOA-2007-BLG-0132  18:01:30.384  -28:36:48.35  2454216.109188  None  None  None  None  16.015889  0.015073  66.3494  25.5546  21.00
None  MOA-2007-BLG-0134  18:11:10.352  -27:27:49.08  2454182.098144  None  None  None  None  3.088902  1.486332  1.1365  18.2189  18.08
None  MOA-2007-BLG-0135  18:08:30.233  -25:21:49.24  2454184.055072  None  None  None  None  2.404695  1.223414  1.2191  12.7651  12.55
None  MOA-2007-BLG-0136  18:15:48.732  -23:12:13.31  2454219.05375  None  None  None  None  11.729534  0.079705  12.5761  24.1989  21.45
None  MOA-2007-BLG-0137  17:46:49.215  -34:10:53.98  2454222.518537  None  None  None  None  30.048322  0.090417  11.0937  24.5827  21.97
None  MOA-2007-BLG-0138  18:01:28.365  -28:19:57.44  2454221.148207  None  None  None  None  1.684025  0.599057  1.886  21.4089  20.72
None  MOA-2007-BLG-0139  18:07:27.359  -33:22:03.55  2454221.228834  None  None  None  None  1.783023  1.381977  1.1638  19.6747  19.51
None  MOA-2007-BLG-0140  18:20:10.966  -22:13:22.67  2454225.01  None  None  None  None  1.10  6.8754  1.0  None  10.95
None  MOA-2007-BLG-0144  17:52:34.142  -30:54:14.20  2454223.89  None  None  None  None  0.73  0.2300  4.43  None  20.05
None  MOA-2007-BLG-0145  17:59:46.565  -31:14:34.68  2454223.698917  None  None  None  None  17.511871  0.546928  2.0274  21.0274  20.26
None  MOA-2007-BLG-0146  18:14:47.715  -27:57:26.93  2454237.601068  None  None  None  None  15.385408  0.560906  1.9866  14.1853  13.44
None  MOA-2007-BLG-0149  18:02:09.289  -28:44:25.27  2454218.29543  None  None  None  None  232.047529  0.006101  163.9098  31.0765  25.54
None  MOA-2007-BLG-0150  17:54:19.286  -30:42:33.82  2454237.631778  None  None  None  None  8.244050  3.383339  1.0112  18.7321  18.72
None  MOA-2007-BLG-0151  18:10:56.982  -25:35:02.90  2454330.313294  None  None  None  None  8.825706  4.724299  1.0034  19.3337  19.33
None  MOA-2007-BLG-0152  18:09:13.685  -25:53:11.87  2454247.339251  None  None  None  None  8.695392  4.086444  1.0058  20.5562  20.55
None  MOA-2007-BLG-0153  17:53:43.129  -28:14:02.10  2454239.956834  None  None  None  None  6.831655  2.055307  1.056  17.7692  17.71
None  MOA-2007-BLG-0154  18:13:29.014  -27:51:29.63  2454283.032587  None  None  None  None  8.657360  3.986362  1.0063  18.7768  18.77
None  MOA-2007-BLG-0155  18:00:39.623  -29:09:17.30  2454232.265838  None  None  None  None  2.774381  1.078533  1.2907  22.2771  22.00
None  MOA-2007-BLG-0156  17:59:12.918  -28:52:05.21  2454224.162595  None  None  None  None  294.844623  0.008009  124.8625  28.4811  23.24
