  2457191.61397           18.335               0.051
  2457202.68856           16.648               0.015
  2457202.74420           16.650               0.019
  2457202.82975           16.959               0.075
  2457203.54730           16.259               0.015
  2457203.64276           16.196               0.016
  2457203.78300           16.101               0.014
  2457204.49297           15.640               0.014
  2457204.49706           15.620               0.014
  2457204.50115           15.632               0.014
  2457204.50523           15.620               0.013
  2457204.50931           15.606               0.012
  2457204.51340           15.605               0.014
  2457204.51748           15.594               0.014
  2457204.52157           15.596               0.015
  2457204.52565           15.576               0.014
  2457204.58735           15.527               0.015
  2457204.59144           15.511               0.014
  2457204.59552           15.523               0.013
  2457204.59961           15.525               0.013
  2457204.60369           15.518               0.013
  2457204.60777           15.510               0.013
  2457204.61185           15.493               0.013
  2457204.61593           15.508               0.013
  2457204.62001           15.513               0.013
  2457204.68311           15.432               0.011
  2457204.68720           15.433               0.008
  2457204.69128           15.430               0.009
  2457204.69538           15.429               0.009
  2457204.69946           15.432               0.009
  2457204.70354           15.423               0.010
  2457204.70762           15.416               0.011
  2457204.71171           15.416               0.009
  2457204.71579           15.420               0.009
  2457204.80195           15.355               0.010
  2457204.80603           15.355               0.011
  2457204.81011           15.355               0.010
  2457204.81420           15.342               0.010
  2457204.81829           15.353               0.013
  2457204.82237           15.363               0.011
  2457204.82645           15.348               0.011
  2457204.83053           15.349               0.011
  2457204.83461           15.337               0.011
  2457205.49957           15.334               0.014
  2457205.50365           15.346               0.012
  2457205.53020           15.377               0.009
  2457205.53428           15.373               0.009
  2457205.53836           15.376               0.009
  2457205.54244           15.381               0.009
  2457205.54652           15.377               0.009
  2457205.62889           15.441               0.013
  2457205.63297           15.445               0.012
  2457205.63705           15.446               0.014
  2457205.64114           15.432               0.012
  2457205.64522           15.414               0.013
  2457205.67190           15.212               0.013
  2457205.67598           15.191               0.011
  2457205.68006           15.186               0.010
  2457205.68415           15.164               0.011
  2457205.68823           15.158               0.010
  2457205.76336           15.140               0.008
  2457205.76745           15.144               0.008
  2457205.77153           15.154               0.008
  2457205.77562           15.157               0.008
  2457205.77971           15.172               0.009
  2457205.80600           15.249               0.009
  2457205.81009           15.255               0.009
  2457205.81417           15.275               0.009
  2457205.81826           15.288               0.010
  2457206.56325           16.129               0.025
  2457206.56733           16.120               0.014
  2457206.57141           16.108               0.013
  2457206.57548           16.124               0.013
  2457206.63184           16.117               0.014
  2457206.63593           16.121               0.014
  2457206.64001           16.143               0.015
  2457206.64410           16.139               0.015
  2457206.64819           16.135               0.017
  2457206.68708           16.161               0.010
  2457206.69116           16.172               0.013
  2457206.69525           16.165               0.013
  2457206.69933           16.166               0.013
  2457206.70341           16.173               0.021
  2457206.77391           16.164               0.015
  2457206.77799           16.187               0.015
  2457206.78206           16.158               0.017
  2457206.78614           16.186               0.014
  2457206.79023           16.165               0.015
  2457207.63823           16.626               0.017
  2457207.64231           16.616               0.016
  2457207.64639           16.617               0.014
  2457207.65047           16.620               0.016
  2457207.78334           16.666               0.016
  2457207.78741           16.694               0.017
  2457207.79149           16.676               0.018
  2457207.79965           16.698               0.017
  2457204.59961           15.525               0.013
