2455265.84296 18.899 0.048 4.63 446.0
2455268.87838 18.790 0.034 4.60 321.0
2455272.78821 18.855 0.042 5.27 335.0
2455275.90844 18.803 0.038 4.22 388.0
2455279.77453 18.776 0.047 6.09 355.0
2455284.91295 18.800 0.041 4.73 469.0
2455286.90315 18.779 0.043 4.23 551.0
2455287.77496 18.811 0.042 3.87 647.0
2455293.91167 18.833 0.035 3.66 372.0
2455294.90795 18.809 0.028 3.13 310.0
2455295.91724 18.758 0.030 3.52 353.0
2455297.80050 18.808 0.032 4.08 299.0
2455298.83909 18.824 0.033 4.61 292.0
2455301.75259 18.778 0.033 4.43 305.0
2455306.68619 18.713 0.034 4.78 361.0
2455307.68823 18.795 0.039 5.35 352.0
2455307.92959 18.791 0.043 3.94 722.0
2455309.74212 18.833 0.036 4.78 324.0
2455310.72448 18.870 0.044 5.20 392.0
2455311.83687 18.842 0.039 5.69 318.0
2455312.83129 18.768 0.047 6.26 457.0
2455313.86570 18.791 0.051 5.26 570.0
2455314.79442 18.664 0.052 5.80 703.0
2455315.74012 18.879 0.058 4.86 824.0
2455316.68334 18.810 0.073 6.02 980.0
2455319.82858 18.804 0.096 4.22 3529.0
2455320.73418 18.744 0.050 4.18 968.0
2455320.93228 18.676 0.044 4.17 904.0
2455321.87530 18.805 0.038 4.22 451.0
2455323.78627 18.796 0.042 5.72 406.0
2455324.72313 18.792 0.041 5.20 350.0
2455324.91773 18.730 0.034 3.73 470.0
2455325.83278 18.765 0.034 4.25 343.0
2455326.76335 18.791 0.033 4.59 300.0
2455327.64796 18.824 0.029 3.42 294.0
2455327.90454 18.755 0.033 3.60 425.0
2455328.83590 18.788 0.031 3.47 327.0
2455334.70027 18.845 0.039 5.27 298.0
2455335.73601 18.840 0.030 3.52 326.0
2455335.93046 18.801 0.049 5.24 482.0
2455337.82611 18.799 0.039 4.62 390.0
2455338.82655 18.913 0.062 6.01 513.0
2455339.85840 18.830 0.056 5.66 622.0
2455340.78473 18.803 0.046 4.72 513.0
2455341.62836 18.754 0.035 3.55 598.0
2455341.92554 18.813 0.045 4.36 603.0
2455342.75100 18.854 0.050 4.98 630.0
2455343.59141 18.865 0.076 5.45 1243.0
2455348.67638 18.868 0.045 4.93 437.0
2455348.92942 18.929 0.076 6.92 653.0
2455349.85965 18.856 0.064 5.19 1021.0
2455351.65548 18.803 0.034 4.74 281.0
2455352.65782 18.804 0.035 4.36 301.0
2455353.64094 18.823 0.035 4.24 319.0
2455354.57986 18.780 0.041 4.61 391.0
2455354.91212 18.904 0.065 6.53 625.0
2455355.87564 18.791 0.061 6.41 607.0
2455358.65647 18.821 0.036 5.06 300.0
2455359.59615 18.874 0.052 5.32 510.0
2455359.83320 18.768 0.038 4.20 450.0
2455362.68879 18.787 0.038 4.42 437.0
2455364.65999 18.752 0.033 4.48 308.0
2455364.83626 18.839 0.041 5.34 322.0
2455365.77580 18.787 0.040 5.30 345.0
2455369.76246 18.772 0.048 4.90 680.0
2455376.72780 18.819 0.048 4.95 544.0
2455377.61986 18.905 0.056 6.39 378.0
2455377.85580 18.852 0.054 4.95 700.0
2455378.78960 18.837 0.040 5.03 385.0
2455379.64915 18.845 0.037 4.76 312.0
2455380.77875 18.811 0.036 4.66 349.0
2455381.65088 18.796 0.047 6.61 269.0
2455381.85301 18.799 0.075 7.79 590.0
